,TrimPlaceName,Implemented
Lidl,313,LEGAL ISSUES - otherwise simple to implement
ALDI,296,Yes
Waitrose & Partners,285,Yes
EDEKA,283,Yes
REWE,278,Yes
Sainsbury's,259,Yes
Tesco Superstore,241,Yes
Asda,181,Yes
The Co-op,154,Yes
Morrisons,138,Yes
Tesco Extra,119,Yes
Tesco Express,104,Yes
Supermercado,96,Not Possible (this mainly consists of local supermarkets)
Netto Filiale,96,In Progress
Mercadona,86,
Marks & Spencer,86,Yes
PENNY,85,
Kaufland,44,
dm-drogerie markt,42,
Korkmaz Market Darmstadt,42,
Coop,42,Yes
Carrefour,39,
Woolworths,37,
SPAR,36,
Tesco Metro,35,Yes
AH,33,
Sainsbury's Local,33,Yes
E center,22,
Iceland Foods,20,Yes
Akash Chouhan Shop Xerox And Studio And General Store,18,
Tesco,17,Yes
Sainsbury's Petrol Station,17,Yes
DIA,17,
real,17,
Trader Joe's,16,
Budgens,15,
Migros Supermarkt,15,
Coles,14,
Combi,14,
Home Bargains,14,
Esselunga,14,
Londis,13,
Pingo,13,
Supercor,11,
Little Waitrose & Partners,10,?
Walmart,10,
K+K Klaas & Kock B.V. & Co. KG,9,
dm drogerie markt,9,
CONAD,8,
NORMA Filiale,8,
Autoservicio,8,
One Stop,8,
Truck Station,8,
CONAD CITY,7,
SuperValu Donabate - Kane/McCartney's,7,
B&M Home Store,7,
Lebensmittel-Shop,7,
Eroski,7,
Dia,7,
MD Discount,7,
Tesco Esso Express,6,Yes
tegut,6,
MASKOM,6,
Bonpreu,6,
Proxy Glazen Huis,6,
Bennet,6,
Netto,6,
Action,6,
Caprabo,6,
METRO,6,
MONOPRIX,5,
Condis,5,
Netto City Filiale,5,
CondisLife,5,
Landmetzgerei Kruse,5,
Costcutter,5,
denn's Biomarkt,5,
bonÀrea,5,
Supermarket BILLA,5,
La Anónima,5,
Salamanca Fresh,5,
Midcounties Co-operative Food,5,
Alcampo,4,
EROSKI,4,
EuroShop,4,
iN's Mercato,4,
Autoservizos Familia,4,
Tesco Pharmacy,4,Yes
BWS Huonville,4,
Eurospin,4,
Supeco,4,
E xpress,4,
Supercor Exprés,4,
Eroski Center,4,
Loblaws,4,
Sun Express,4,
Multi Shop,4,
Jumbo,4,
Carulla SmartMarket,3,
Marktkauf,3,
Eroski City,3,
Metzgerei Roland Klingenstein,3,
SuperBioMarkt AG,3,
Coviran,3,
Hy-Vee,3,
Consum,3,
Klaus-Dieter John retail oHG,3,
The Food Warehouse by Iceland,3,
Tesco Direct Click and Collect,3,Yes
Kroger,3,
BWS Darwin City,3,
Lewiatan,3,
Sainsbury's Café,3,
Whole Foods Market,3,
Martin's Food,3,
B&M Store,3,
TEDi,3,
Expa Supermarkets London,3,
CAP-Markt,3,
Penny Market,3,
ROSSMANN Drogeriemarkt,3,
Harris Farm Markets Lindfield,3,
E-Center Dumke,3,
Costco Wholesale,3,
Denner Discount,3,
Penny,3,
ARD Discount,3,
Simply City,3,
Boots,2,
Udaco,2,
P E Mead & Sons Farmshop,2,
Martin's,2,
Alcampo City,2,
Casino supermarché,2,
"Booths, Longton",2,
KiK Röbel,2,
Mood Food Huonville,2,
Alimerka,2,
schmidgärtnerei,2,
Migros,2,
Group ALDI SÜD,2,
Mercadona Street Gabilondo,2,
E aktiv markt Borsch,2,
Sprouts Farmers Market,2,
City Road Supermarket,2,
Reliance Fresh,2,
Stop & Shop,2,
Auchan,2,
Tchibo im Supermarkt,2,
Vivanda Dos De Mayo,2,
بقالة سعود,2,
HIT Handelsgruppe GmbH & Co. KG,2,
Denner Express,2,
Supermercats Consum,2,
Eroski Sóller,2,
S&S Greengrocer Ltd,2,
Unverpackt Darmstadt,2,
Argos Kempshott in Sainsburys,2,
Plaza Vea Piura,2,
Gadis,2,
The Natural Grocery Store,2,
EROSKI CITY,2,
K D N Traders,2,
Condis Express,2,
Caltex - Huonville,2,
Centro Comercial Alcampo Ferrol,2,
wilko,2,
Sobeys Fundy Trail Mall,2,
Aro,2,
Witney Argos in Sainsburys,2,
Auchan SUPERMARCHE CHATILLON,2,
SuperValu,2,
MA Supermercati,2,
Alnatura Super Natur Markt,2,
Supermarket FRESH,2,
IGA Lindfield,2,
BioMarkt Vaterstetten,2,
Supermarket diana,2,
Morrisons Pharmacy,2,
BioMarkt Naturata,2,
CSantos Vp,2,
Delhaize Proxy,2,
NP-Markt Hannover - Ricklingen,2,
Savemore Market,2,
Publix Super Market at Doral Park Shopping Center,2,
Costco Farnborough,2,
IGA plus liquor Collins st,2,
Schenke Delikatessen,2,
Alì supermercati,2,
Extra Hipermercado - Brasilia Norte,2,
Primaprix,2,
Supermercati Pratocarni,2,
Mas y mas,2,
Frutaria Banamadeira - Levada do Cavalo,2,
The Midcounties Co-operative,2,
PENNY Market,2,
Zehrs,2,
Dunnes Stores - Westside,2,
McColl's,2,
Prix Quality,2,
Dona de Casa,2,
Balbinka Polish Food,2,
masymas,2,
MONOPRIX SOLDAT LABOUREUR,2,
